Date,Open,High,Low,Close,Volume
2020-06-28 19:00:00,224.62,229.66,221.49,227.75,769.30004703
2020-06-29 19:00:00,227.67,227.98,223.57,225.25,435.11046942
2020-06-30 19:00:00,225.0,232.9,224.85,230.99,443.45261504
2020-07-01 19:00:00,231.51,231.51,222.46,226.9,541.1621918
2020-07-02 19:00:00,226.33,228.0,224.63,225.2,200.05053226
2020-07-03 19:00:00,225.18,229.89,225.14,228.77,346.25236583
2020-07-04 19:00:00,229.61,229.61,223.54,228.0,386.53150712
2020-07-05 19:00:00,227.45,241.68,227.45,241.5,1863.1752837
2020-07-06 19:00:00,242.03,243.44,234.81,238.56,503.79515988
2020-07-07 19:00:00,238.1,248.76,237.55,246.78,1500.92755842
2020-07-08 19:00:00,246.18,247.82,235.56,241.33,1237.48644465
2020-07-09 19:00:00,242.13,242.13,236.18,240.96,503.42208627
2020-07-10 19:00:00,241.13,241.54,238.01,239.95,155.9916485
2020-07-11 19:00:00,239.47,243.75,237.0,242.45,486.24021571
2020-07-12 19:00:00,243.19,245.43,237.76,239.4,620.75846731
2020-07-13 19:00:00,239.62,241.9,237.2,240.96,159.28104537
2020-07-14 19:00:00,240.05,240.52,237.06,238.75,627.68870252
2020-07-15 19:00:00,238.74,239.23,230.44,234.08,657.90481714
2020-07-16 19:00:00,233.74,234.1,231.97,233.13,280.08511492
2020-07-17 19:00:00,232.56,236.67,232.46,235.78,351.75886731
2020-07-18 19:00:00,235.69,239.49,233.62,239.01,356.94058527
2020-07-19 19:00:00,239.03,239.03,234.45,236.3,267.97352016
2020-07-20 19:00:00,237.11,246.4,236.68,245.55,496.84771483
2020-07-21 19:00:00,245.76,268.65,241.83,263.59,1063.443413
2020-07-22 19:00:00,264.07,285.11,260.25,274.59,2782.19343823
2020-07-23 19:00:00,275.54,286.92,267.16,278.22,1642.59002274
2020-07-24 19:00:00,279.86,308.68,279.86,304.52,1504.92322286
2020-07-25 19:00:00,305.04,318.95,299.74,309.96,1833.09976421
2020-07-26 19:00:00,311.18,332.62,310.1,323.69,2410.34610273
